Day Date,Week End Date,Center Name,Driver Work Center Hrs Qty,Deliv Stops Qty
2/14/2019,2/16/2019,Mountain 3,242.65,3389
2/15/2019,2/16/2019,Mountain 1,252.03,2221
2/15/2019,2/16/2019,Mountain 2,159.58,1806
2/15/2019,2/16/2019,Mountain 3,221.78,3140
2/16/2019,2/16/2019,Mountain 1,40.13,79
2/16/2019,2/16/2019,Mountain 2,0.00,0
2/16/2019,2/16/2019,Mountain 3,17.79,58
2/17/2019,2/23/2019,Mountain 1,0.00,0
2/17/2019,2/23/2019,Mountain 2,0.00,0
2/17/2019,2/23/2019,Mountain 3,0.00,0
2/18/2019,2/23/2019,Mountain 1,225.06,2114
2/18/2019,2/23/2019,Mountain 2,145.26,1702
2/18/2019,2/23/2019,Mountain 3,215.59,3002
2/19/2019,2/23/2019,Mountain 1,251.66,2388
2/19/2019,2/23/2019,Mountain 2,161.77,1929
2/19/2019,2/23/2019,Mountain 3,223.55,3094
2/20/2019,2/23/2019,Mountain 1,236.64,2356
2/20/2019,2/23/2019,Mountain 2,148.99,1979
2/20/2019,2/23/2019,Mountain 3,237.93,3449
2/21/2019,2/23/2019,Mountain 1,222.89,2113
2/21/2019,2/23/2019,Mountain 2,147.21,1862
2/21/2019,2/23/2019,Mountain 3,222.90,3221
2/22/2019,2/23/2019,Mountain 1,225.23,2047
2/22/2019,2/23/2019,Mountain 2,140.41,1726
2/22/2019,2/23/2019,Mountain 3,221.70,3017
2/23/2019,2/23/2019,Mountain 1,28.09,58
2/23/2019,2/23/2019,Mountain 2,0.00,0
2/23/2019,2/23/2019,Mountain 3,15.44,59
2/24/2019,3/2/2019,Mountain 1,0.00,0
2/24/2019,3/2/2019,Mountain 2,0.00,0
2/24/2019,3/2/2019,Mountain 3,0.00,0
2/25/2019,3/2/2019,Mountain 1,240.31,2291
2/25/2019,3/2/2019,Mountain 2,139.89,1793
2/25/2019,3/2/2019,Mountain 3,233.95,3419
2/26/2019,3/2/2019,Mountain 1,238.97,2330
2/26/2019,3/2/2019,Mountain 2,149.16,1793
2/26/2019,3/2/2019,Mountain 3,224.93,3127
2/27/2019,3/2/2019,Mountain 1,237.65,2244
2/27/2019,3/2/2019,Mountain 2,146.84,1906
2/27/2019,3/2/2019,Mountain 3,242.23,3499
2/28/2019,3/2/2019,Mountain 1,231.54,2183
2/28/2019,3/2/2019,Mountain 2,145.82,1743
2/28/2019,3/2/2019,Mountain 3,228.42,3328
3/1/2019,3/2/2019,Mountain 1,232.47,2087
3/1/2019,3/2/2019,Mountain 2,127.24,1525
3/1/2019,3/2/2019,Mountain 3,218.94,3118
3/2/2019,3/2/2019,Mountain 1,31.24,69
3/2/2019,3/2/2019,Mountain 2,0.00,0
3/2/2019,3/2/2019,Mountain 3,16.33,52
3/3/2019,3/9/2019,Mountain 1,0.00,0
3/3/2019,3/9/2019,Mountain 2,0.00,0
3/3/2019,3/9/2019,Mountain 3,0.00,0
3/4/2019,3/9/2019,Mountain 1,233.62,2091
3/4/2019,3/9/2019,Mountain 2,149.63,1782
3/4/2019,3/9/2019,Mountain 3,236.83,3291
3/5/2019,3/9/2019,Mountain 1,241.30,2152
3/5/2019,3/9/2019,Mountain 2,141.00,1749
3/5/2019,3/9/2019,Mountain 3,231.26,3117
3/6/2019,3/9/2019,Mountain 1,250.44,2326
3/6/2019,3/9/2019,Mountain 2,155.07,1830
3/6/2019,3/9/2019,Mountain 3,238.97,3349
3/7/2019,3/9/2019,Mountain 1,209.76,1748
3/7/2019,3/9/2019,Mountain 2,51.19,353
3/7/2019,3/9/2019,Mountain 3,198.34,2691
3/8/2019,3/9/2019,Mountain 1,267.97,2485
3/8/2019,3/9/2019,Mountain 2,198.22,2076
3/8/2019,3/9/2019,Mountain 3,252.11,3847
3/9/2019,3/9/2019,Mountain 1,29.27,81
3/9/2019,3/9/2019,Mountain 2,0.00,0
3/9/2019,3/9/2019,Mountain 3,9.13,40
3/10/2019,3/16/2019,Mountain 1,0.00,0
3/10/2019,3/16/2019,Mountain 2,0.00,0
3/10/2019,3/16/2019,Mountain 3,0.00,0
3/11/2019,3/16/2019,Mountain 1,245.46,2177
3/11/2019,3/16/2019,Mountain 2,198.33,2227
3/11/2019,3/16/2019,Mountain 3,254.99,3649
3/12/2019,3/16/2019,Mountain 1,250.78,2331
3/12/2019,3/16/2019,Mountain 2,147.78,1724
3/12/2019,3/16/2019,Mountain 3,217.66,3050
3/13/2019,3/16/2019,Mountain 1,204.38,1466
3/13/2019,3/16/2019,Mountain 2,160.31,1988
3/13/2019,3/16/2019,Mountain 3,220.31,3116
3/14/2019,3/16/2019,Mountain 1,195.85,1535
3/14/2019,3/16/2019,Mountain 2,81.74,668
3/14/2019,3/16/2019,Mountain 3,122.49,1064
3/15/2019,3/16/2019,Mountain 1,266.22,2387
3/15/2019,3/16/2019,Mountain 2,151.08,1821
3/15/2019,3/16/2019,Mountain 3,257.81,3927
3/16/2019,3/16/2019,Mountain 1,35.31,107
3/16/2019,3/16/2019,Mountain 2,0.00,0
3/16/2019,3/16/2019,Mountain 3,15.34,75
3/17/2019,3/23/2019,Mountain 1,0.00,0
3/17/2019,3/23/2019,Mountain 2,0.00,0
3/17/2019,3/23/2019,Mountain 3,0.00,0
3/18/2019,3/23/2019,Mountain 1,264.63,2739
3/18/2019,3/23/2019,Mountain 2,171.63,2184
3/18/2019,3/23/2019,Mountain 3,286.33,4316
3/19/2019,3/23/2019,Mountain 1,260.48,2575
3/19/2019,3/23/2019,Mountain 2,165.07,1994
3/19/2019,3/23/2019,Mountain 3,241.05,3440
3/20/2019,3/23/2019,Mountain 1,242.87,2241
3/20/2019,3/23/2019,Mountain 2,137.16,1668
3/20/2019,3/23/2019,Mountain 3,226.26,3262
3/21/2019,3/23/2019,Mountain 1,220.73,2101
3/21/2019,3/23/2019,Mountain 2,147.49,1789
3/21/2019,3/23/2019,Mountain 3,223.35,3225
3/22/2019,3/23/2019,Mountain 1,230.82,2095
3/22/2019,3/23/2019,Mountain 2,137.75,1540
3/22/2019,3/23/2019,Mountain 3,225.55,3174
3/23/2019,3/23/2019,Mountain 1,31.95,71
3/23/2019,3/23/2019,Mountain 2,0.00,0
3/23/2019,3/23/2019,Mountain 3,16.13,76
3/24/2019,3/30/2019,Mountain 1,0.00,0
3/24/2019,3/30/2019,Mountain 2,0.00,0
3/24/2019,3/30/2019,Mountain 3,0.00,0
3/25/2019,3/30/2019,Mountain 1,234.64,2319
3/25/2019,3/30/2019,Mountain 2,155.03,1719
3/25/2019,3/30/2019,Mountain 3,229.65,3268
3/26/2019,3/30/2019,Mountain 1,257.24,2539
3/26/2019,3/30/2019,Mountain 2,152.55,1807
3/26/2019,3/30/2019,Mountain 3,225.82,3205
3/27/2019,3/30/2019,Mountain 1,225.39,2172
3/27/2019,3/30/2019,Mountain 2,131.86,1561
3/27/2019,3/30/2019,Mountain 3,211.16,3062
3/28/2019,3/30/2019,Mountain 1,222.73,2066
3/28/2019,3/30/2019,Mountain 2,141.77,1642
3/28/2019,3/30/2019,Mountain 3,217.07,3192
3/29/2019,3/30/2019,Mountain 1,222.91,2141
3/29/2019,3/30/2019,Mountain 2,149.63,1698
3/29/2019,3/30/2019,Mountain 3,225.01,3192
3/30/2019,3/30/2019,Mountain 1,29.05,77
3/30/2019,3/30/2019,Mountain 2,0.00,0
3/30/2019,3/30/2019,Mountain 3,16.83,57
3/31/2019,4/6/2019,Mountain 1,0.00,0
3/31/2019,4/6/2019,Mountain 2,0.00,0
3/31/2019,4/6/2019,Mountain 3,0.00,0
4/1/2019,4/6/2019,Mountain 1,228.87,2260
4/1/2019,4/6/2019,Mountain 2,144.36,1723
4/1/2019,4/6/2019,Mountain 3,226.84,3183
4/2/2019,4/6/2019,Mountain 1,248.98,2297
4/2/2019,4/6/2019,Mountain 2,141.78,1756
4/2/2019,4/6/2019,Mountain 3,233.38,3286
4/3/2019,4/6/2019,Mountain 1,225.22,2213
4/3/2019,4/6/2019,Mountain 2,139.36,1811
4/3/2019,4/6/2019,Mountain 3,247.26,3658
4/4/2019,4/6/2019,Mountain 1,239.94,2272
4/4/2019,4/6/2019,Mountain 2,141.22,1844
4/4/2019,4/6/2019,Mountain 3,245.03,3632
4/5/2019,4/6/2019,Mountain 1,219.54,2074
4/5/2019,4/6/2019,Mountain 2,136.61,1783
4/5/2019,4/6/2019,Mountain 3,237.31,3410
4/6/2019,4/6/2019,Mountain 1,27.25,85
4/6/2019,4/6/2019,Mountain 2,0.00,0
4/6/2019,4/6/2019,Mountain 3,15.84,62
4/7/2019,4/13/2019,Mountain 1,0.00,0
4/7/2019,4/13/2019,Mountain 2,0.00,0
4/7/2019,4/13/2019,Mountain 3,0.00,0
4/8/2019,4/13/2019,Mountain 1,236.63,2272
4/8/2019,4/13/2019,Mountain 2,138.10,1699
4/8/2019,4/13/2019,Mountain 3,219.72,3152
4/9/2019,4/13/2019,Mountain 1,228.77,2157
4/9/2019,4/13/2019,Mountain 2,133.68,1690
4/9/2019,4/13/2019,Mountain 3,229.53,3190
4/10/2019,4/13/2019,Mountain 1,239.17,2271
4/10/2019,4/13/2019,Mountain 2,144.55,1865
4/10/2019,4/13/2019,Mountain 3,245.39,3576
